Week;Total;TV;Radio;Movies;Outdoor;Morning press;Evening press;Popular press;Special press ;SoV;TOM;IM
1;220;0;0;0;0;220;0;0;0;0.033536585;0.0128205;0.0512821
2;1337.166667;0;0;0;0;1294.5;42.66666667;0;0;0.102882717;0.022039633;0.058548333
3;2460.25;0;0;0;174.5;2217.083333;68.66666667;0;0;0.245607467;0.029843433;0.0704398
4;3455.25;110.75;0;0;418.8333333;2854.333333;71.33333333;0;0;0.141070918;0.02543443;0.094148833
5;4213.5;329.0833333;0;0;663.1666667;3154.916667;66.33333333;0;0;0.202338648;0.03006873;0.102378167
6;4364.5;609.1666667;0;0;733;2958.666667;51.83333333;0;11.83333333;0.240733591;0.035535297;0.111989
7;3591;778.5;0;0;558.5;2194.333333;33.5;2.5;23.66666667;0.247552737;0.047384667;0.118783
8;2574.833333;729.5;0;0;314.1666667;1447;26.83333333;11;46.33333333;0.176782241;0.0477538;0.123286667
9;1555.083333;515.75;0;0;69.83333333;869.8333333;23;19.5;57.16666667;0.126419261;0.042647733;0.114541067
10;1137.083333;323.25;0;0;0;709.1666667;23;25.5;56.16666667;0.055152706;0.0495874;0.1211374
11;1281.833333;314.3333333;0;0;0;884.3333333;15.83333333;23;44.33333333;0.045920804;0.0476033;0.1302644
12;1625.333333;472.0833333;0;0;0;1107.25;9.833333333;14.5;21.66666667;0.03942209;0.043604333;0.1215107
13;1915.583333;612.4166667;0;0;0;1282.5;3.833333333;6;10.83333333;0.061369364;0.035485633;0.099021133
14;1844.583333;596.9166667;0;0;0;1242.083333;5.583333333;0;0;0.132608435;0.027246467;0.082872233
15;1488.416667;444.9166667;0;0;0;1033.583333;9.916666667;0;0;0.085344992;0.029560333;0.0805924
16;1122.333333;225.4166667;0;0;0;879.5833333;17.33333333;0;0;0.051024429;0.023865133;0.0722787
17;1033.583333;80.5;0;0;0;924.6666667;28.41666667;0;0;0.05218273;0.023464733;0.0569533
18;1343.166667;8.416666667;0;0;0;1295;39.75;0;0;0.079864827;0.020404333;0.071469433
19;1898.75;0;0;0;0;1854.416667;44.33333333;0;0;0.078963237;0.029070667;0.081339433
20;2301.5;7.666666667;0;0;0;2249.666667;44.16666667;0;0;0.165993509;0.023821333;0.0839641
21;2393.833333;15.33333333;0;0;0;2340.5;36.83333333;0;1.166666667;0.203799875;0.031754033;0.084484767
22;2087.583333;23;0;0;0;2033.666667;28.58333333;0;2.333333333;0.145618257;0.0192482;0.070342633
23;1578.25;23;0;0;0;1460.833333;90;0;4.416666667;0.153198408;0.0234676;0.0751767
24;1183.75;15.33333333;0;0;0;968.6666667;194.4166667;0;5.333333333;0.097806329;0.0186827;0.054872833
25;980.1666667;7.666666667;0;0;0;644.75;322.6666667;0;5.083333333;0.157507097;0.023189567;0.071987233
26;999.6666667;0;0;0;0;586.3333333;409.4166667;0;3.916666667;0.160769808;0.025181333;0.0715548
27;998.0833333;0;0;0;0;587;409.25;0;1.833333333;0.196977173;0.0252702;0.077130333
28;1023;0;0;0;0;650.1666667;371.9166667;0;0.916666667;0.161918329;0.0283446;0.0559056
29;1057.5;0;0;0;0;738.5833333;318.9166667;0;0;0.164873714;0.031307733;0.0514799
30;1141.75;0;0;0;0;827.5;314.25;0;0;0.164968935;0.035530267;0.059626967
31;1169.833333;0;0;0;0;841;328.8333333;0;0;0.176765387;0.032729167;0.0624281
32;1092;0;0;0;0;784;308;0;0;0.140830539;0.026061133;0.061623333
33;933.6666667;0;0;0;0;679.1666667;254.5;0;0;0.112720834;0.015960133;0.057077867
34;751;0;0;0;0;580.25;170.75;0;0;0.116669256;0.016816033;0.070363733
35;589.0833333;0;0;0;0;502.6666667;86.41666667;0;0;0.037468727;0.0191407;0.069728067
36;481.4166667;0;0;0;0;450.1666667;31.25;0;0;0.031039115;0.0249303;0.071391033
37;424.4166667;0;0;0;0;419;5.416666667;0;0;0.027334106;0.018235137;0.064375367
38;417.5833333;0;0;0;0;413.1666667;4.416666667;0;0;0.018992283;0.02153427;0.0691474
39;428.4166667;0;0;0;0;422.75;5.666666667;0;0;0.018457484;0.01069417;0.058646067
40;433.6666667;0;0;0;0;427.1666667;6.5;0;0;0.020406883;0.012996233;0.059900033
41;823.9166667;135.8333333;0;0;0;679.5;8.583333333;0;0;0.042654621;0.012866167;0.067553133
42;1338;383.1666667;0;0;0;943.6666667;11.16666667;0;0;0.053319519;0.038076267;0.104084567
43;2009.25;744.75;0;0;0;1237;27.5;0;0;0.066832424;0.053412133;0.127733333
44;2443.166667;1089.583333;0;0;0;1302.75;50.83333333;0;0;0.214614078;0.0716026;0.153162
45;2402.75;1224.25;0;0;0;1098;79.66666667;0;0.833333333;0.143490594;0.077125367;0.154751
46;2126;1148;0;0;0;874.6666667;101.6666667;0;1.666666667;0.113951868;0.074622433;0.148069333
47;1555.5;838.4166667;0;0;0;611.8333333;102.1666667;0;3.083333333;0.100206146;0.063357333;0.128133333
48;1191;508.4166667;0;0;0;591.3333333;87.58333333;0;3.666666667;0.101344452;0.040087167;0.1034872
49;896.0833333;237.9166667;0;0;0;597.5;56.66666667;0;4;0.117921218;0.032192;0.084248033
50;663.25;66.83333333;0;0;0;562.75;29.91666667;0;3.75;0.081032376;0.019581447;0.072570167
51;555.8333333;14.83333333;0;0;0;515.9166667;21.91666667;0;3.166666667;0.147906688;0.012118747;0.045206967
52;447.6666667;0;0;0;0;410.8333333;29.58333333;0;7.25;0.059301453;0.01680758;0.043438
53;420.25;0;0;0;0;361;48.5;0;10.75;0.054492998;0.019154767;0.0389379
54;485.5833333;0;0;0;0;386.0833333;84.91666667;0;14.58333333;0.063524769;0.025215367;0.057119733
55;697.6666667;0;0;0;0;528.1666667;155.75;0;13.75;0.050322177;0.022627367;0.0654013
56;968.4166667;46.41666667;0;0;0;691.75;217.3333333;0;12.91666667;0.041232029;0.025839367;0.075624667
57;1320.916667;213.3333333;0;0;0;801.9166667;289;0;16.66666667;0.04853278;0.0301147;0.078114667
58;1697.5;502.6666667;0;0;0;876.0833333;292.8333333;0;25.91666667;0.06369845;0.028466333;0.072620167
59;2067.583333;881.5;0;0;0;892.3333333;253.4166667;0;40.33333333;0.092208149;0.0417191;0.0906971
60;2366.75;1189.5;2.5;0;0;942.1666667;181;0;51.58333333;0.115948952;0.045388767;0.114843267
61;2353.166667;1254.583333;5;0;0;938.75;97.41666667;0;57.41666667;0.141979406;0.049021267;0.125099667
62;2123.333333;1061.333333;7.5;0;0;935.3333333;65.75;0;53.41666667;0.120268102;0.0437675;0.115188333
63;1669.833333;682.5;7.5;0;0;907.5833333;28.83333333;0;43.41666667;0.062098674;0.069517233;0.128474333
64;1250.833333;328.0833333;5;0;0;845.5833333;33.33333333;3;35.83333333;0.065906177;0.061326333;0.135027
65;985.5;96.08333333;2.5;0;0;813.1666667;35.41666667;9.25;29.08333333;0.07341329;0.054977133;0.131323333
66;906.75;0;0;0;0;806.9166667;51.58333333;18.5;29.75;0.044853087;0.0254782;0.098860367
67;1000.333333;0;4.666666667;0;0;832;107.9166667;24.75;31;0.048439946;0.028629767;0.0884729
68;1275.416667;22.5;40.83333333;0;0;927.5;204.5833333;31.25;48.75;0.049130072;0.032619467;0.095680233
69;1557.166667;45;114.9166667;0;0;961.25;334.6666667;34.83333333;66.5;0.057850677;0.027025067;0.093349233
70;1746.333333;67.5;218.75;0;0;912.6666667;427.5;38.16666667;81.75;0.112717571;0.035207133;0.110079367
71;1707.333333;67.5;294.5833333;0;0;761.5;460.8333333;38;84.91666667;0.138100245;0.031794633;0.093107733
72;1451.083333;45;301;0;0;592.75;401.4166667;41;69.91666667;0.105756383;0.0335429;0.097575467
73;1385.166667;66.41666667;235.0833333;0;0;628.0833333;348;44.25;63.33333333;0.083985125;0.0333463;0.0917508
74;1474.5;139.1666667;131.25;0;0;744.9166667;346.6666667;50.25;62.25;0.097856384;0.0388703;0.099431767
75;1833.583333;277.5;50.75;0;0;971.25;407.4166667;53;73.66666667;0.133740579;0.047058567;0.110583333
76;2096.25;420.3333333;8.166666667;0;0;1066.916667;476.75;52;72.08333333;0.151638455;0.042213933;0.096558233
77;2142.083333;523.6666667;0;0;0;1008.166667;497.25;51.75;61.25;0.310132233;0.034922267;0.0819749
78;2016.083333;554.9166667;0;0;0;868.1666667;498;46;49;0.267207864;0.0395084;0.0790169
79;1746.083333;494.6666667;0;0;0;699.8333333;466.5833333;44;41;0.224403461;0.036446567;0.0794237
80;1521.5;374.1666667;0;0;0;644.5833333;430.5;35.5;36.75;0.164379862;0.035805533;0.075577533
81;1266.25;226.9166667;0;0;0;620.25;361.25;28.91666667;28.91666667;0.162652537;0.027640167;0.0671544
82;1040.416667;100.4166667;0;0;0;632.9166667;258.9166667;28.41666667;19.75;0.14791252;0.0301076;0.066009733
83;850.3333333;22.33333333;0;0;0;631.25;155.25;30.91666667;10.58333333;0.105552797;0.031245333;0.0818868
84;754.9166667;0;0;0;0;618.25;87.25;37;12.41666667;0.099896343;0.030808033;0.078148133
85;719.0833333;0;0;0;0;605.8333333;57.41666667;37;18.83333333;0.085625546;0.029938333;0.087594767
86;723.8333333;0;0;0;0;606;45.16666667;40.5;32.16666667;0.04284305;0.0291728;0.091155267
87;725.6666667;0;0;0;0;602.9166667;29.91666667;44;48.83333333;0.025062743;0.0291728;0.088509767
88;762.9166667;0;0;0;0;625.25;28.08333333;47.25;62.33333333;0.025856323;0.023895833;0.077044133
89;812.5;0;0;0;0;667.6666667;32.58333333;43.75;68.5;0.0191659;0.015831333;0.056951533
90;897.5;0;0;0;0;730.6666667;42;50.75;74.08333333;0.026231185;0.016268633;0.0605809
91;1115.416667;143.5833333;0;0;0;786.5;41.33333333;58;86;0.038254224;0.0205431;0.0655303
92;1541.166667;491;0;0;0;845.6666667;33.25;68.75;102.5;0.071024778;0.0355581;0.080391867
93;2269.583333;1014.916667;0;0;0;1019.416667;47.75;69;118.5;0.076401513;0.0415456;0.089612133
94;3053.583333;1588.25;0;0;0;1203.416667;86.5;58.66666667;116.75;0.10393762;0.0425205;0.097786033
95;3733.916667;2034.083333;0;0;0;1365.583333;161.0833333;51.41666667;121.75;0.111917893;0.0556745;0.127097
96;3902;2099.583333;0;0;0;1398;242;43.91666667;118.5;0.155414825;0.055334367;0.128797667
97;3532.75;1795.583333;0;0;0;1274.666667;297.1666667;47;118.3333333;0.08388939;0.0662424;0.125691333
98;2832;1222.25;0;0;0;1132;327.4166667;43.25;107.0833333;0.086512907;0.046337867;0.094146733
99;2069.166667;639.6666667;0;0;0;998;298.4166667;49.16666667;83.91666667;0.081408768;0.053063;0.087672167
100;1560.75;233.5833333;0;0;0;959.3333333;244.4166667;55.33333333;68.08333333;0.063308725;0.039118967;0.076421233
101;1198.916667;24.66666667;0;0;0;891.1666667;165.6666667;65;52.41666667;0.064894001;0.0446286;0.076421233
102;980.0833333;28.83333333;0;0;0;746.0833333;88.16666667;65.5;51.5;0.087687513;0.0307606;0.0662291
103;733.8333333;26.16666667;0;0;0;569.1666667;39.75;56.33333333;42.41666667;0.099705616;0.0232979;0.0613849
104;493.5833333;19.33333333;0;0;0;380.5833333;17.16666667;44.16666667;32.33333333;0.047391583;0.020728267;0.0618016
